N       Время поиска для простой хэш-функции  Время поиска для сложной хэш-функции
100                                 0.000017                              0.000016
500                                 0.000018                              0.000016
1000                                0.000017                              0.000016
2500                                0.000015                              0.000015
5000                                0.000015                              0.000015
10000                               0.000017                              0.000016
25000                               0.000017                              0.000015
50000                               0.000016                              0.000013
100000                              0.000017                              0.000016
