N        Кол-во коллизий простой хэш-функции  Кол-во коллизий сложной хэш-функции
100                                       0                                    0
500                                       0                                    0
1000                                      0                                    1
2500                                     15                                    6
5000                                     82                                   35
10000                                   381                                  167
25000                                  2027                                  924
50000                                  8955                                 4054
100000                                35000                                16853
